record_id,latitude,longitude
1,unknown,unknown
2,34.1915481,-118.1657363
3,34.0565717,-117.7530759
4,34.0812428,-117.7531627
5,34.0622704,-118.3068699
6,34.095287,-118.1270146
7,34.1067343,-117.8902279
8,34.0548279,-117.7725853
9,34.0548279,-117.7725853
10,34.0641098,-118.291633
11,34.0682792,-117.7517278
12,34.08378700000001,-117.4673845
13,34.07891190000001,-117.7595357
14,34.066305,-118.297546
15,34.066305,-118.297546
16,34.1407073,-118.1846792
17,34.1407073,-118.1846792
18,33.9488495,-117.3971178
19,34.0609777,-117.7910238
20,34.0609777,-117.7910238
21,unknown,unknown
22,34.1329857,-118.0436248
23,34.1329857,-118.0436248
24,34.1329857,-118.0436248
25,34.4425017,-118.536371
26,33.789911,-117.8538796
27,33.7878196,-117.8553713
28,34.192625,-118.610739
29,34.1989453,-118.597305
30,34.1989453,-118.597305
31,34.053494,-117.759641
32,34.0453564,-118.2450635
33,34.0453564,-118.2450635
34,unknown,unknown
35,34.0852934,-117.7371539
36,34.1513301,-118.0229042
37,34.1513301,-118.0229042
38,34.1196583,-118.253354
39,34.1377656,-118.2614332
40,34.1196583,-118.253354
41,34.1196583,-118.253354
42,34.1196583,-118.253354
43,34.1196583,-118.253354
44,34.1196583,-118.253354
45,34.1196583,-118.253354
46,34.1196583,-118.253354
47,34.0498585,-118.2763978
48,34.0498585,-118.2763978
49,34.0498585,-118.2763978
50,34.0498585,-118.2763978
51,34.0498585,-118.2763978
52,34.0808449,-118.0732481
53,34.0641927,-117.7462485
54,34.0641927,-117.7462485
55,34.0975922,-118.1002488
56,34.0975922,-118.1002488
57,unknown,unknown
58,36.778261,-119.4179324
59,34.085323,-117.969546
60,34.0495657,-117.9710333
61,34.0495657,-117.9710333
62,34.0495657,-117.9710333
63,34.0419569,-117.747875
64,34.0417735,-117.817881
65,34.0730022,-118.3617325
66,33.88177,-118.129747
67,33.9966589,-117.6929566
68,unknown,unknown
69,34.0812428,-117.7531627
70,34.0526919,-118.2653529
71,34.1493679,-118.0946736
72,38.6446264,-121.2721718
73,34.0786784,-118.2113961
74,34.0459024,-117.7488665
75,34.0602394,-118.0239073
76,34.1846433,-118.5933227
77,34.0581625,-118.0258649
78,34.0579404,-118.0259626
79,34.225024,-118.605631
80,34.0892575,-117.8311117
81,34.0845503,-118.1226574
82,34.0548413,-117.7491879
83,34.1498145,-118.1432867
84,34.0261583,-118.2728488
85,34.0261583,-118.2728488
86,34.0261583,-118.2728488
87,36.778261,-119.4179324
88,36.778261,-119.4179324
89,34.0197335,-117.9586754
90,34.1497267,-118.1366384
91,34.0699937,-118.0288509
92,36.778261,-119.4179324
93,34.1284704,-117.9080324
94,33.8673616,-118.0570906
95,34.0729339,-118.0691227
96,33.80156729999999,-118.0719079
97,unknown,unknown
98,33.8035,-118.292348
99,33.8035,-118.292348
100,33.8035,-118.292348
101,33.8035,-118.292348
102,34.0827886,-118.031897
103,34.0827886,-118.031897
104,34.0827886,-118.031897
105,34.0827886,-118.031897
106,34.0827886,-118.031897
107,34.0617987,-117.7196565
108,34.0604746,-117.7529699
109,34.0604746,-117.7529699
110,34.0610494,-118.2728617
111,34.0526182,-118.3237654
112,34.1775276,-118.1511579
113,34.131323,-118.1507374
114,34.058108,-117.749558
115,34.0975666,-118.2900987
116,34.0626634,-118.2400525
117,34.0919397,-118.1242922
118,34.1713121,-118.1318722
119,34.0877575,-117.8873894
120,34.0877575,-117.8873894
121,34.0487917,-117.7565703
122,34.0990056,-118.1071719
123,34.0990056,-118.1071719
124,34.0610322,-118.0823275
125,34.0802977,-117.9766557
126,34.0632472,-117.9446757
127,34.0546029,-117.7511268
128,36.778261,-119.4179324
129,36.778261,-119.4179324
130,34.0853655,-118.0293332
131,34.1009953,-117.8194197
132,33.893906,-118.23222
133,33.893906,-118.23222
134,33.893906,-118.23222
135,33.893906,-118.23222
136,34.1284704,-117.9080324
137,34.0791001,-117.9893116
138,34.1146127,-117.9746909
139,33.999464,-117.8575384
140,34.0529943,-117.7769835
141,34.0641098,-118.291633
142,34.0641098,-118.291633
143,34.0641098,-118.291633
144,34.0899519,-117.8986155
145,34.0966764,-117.7197785
146,34.0919397,-118.1242922
147,34.0852934,-117.7371539
148,34.1024159,-117.7854785
149,34.1024159,-117.7854785
150,34.1024159,-117.7854785
151,34.1024159,-117.7854785
152,34.0440401,-117.9516487
153,34.0440401,-117.9516487
154,34.0440401,-117.9516487
155,34.0440401,-117.9516487
156,34.0440401,-117.9516487
157,34.0562141,-117.7536253
158,34.0567061,-118.246127
159,36.778261,-119.4179324
160,36.778261,-119.4179324
161,33.9511133,-118.2497386
162,34.0578814,-118.3096648
163,34.0610653,-117.7866502
164,34.0610653,-117.7866502
165,34.0610653,-117.7866502
166,34.0610653,-117.7866502
167,34.0684888,-117.9411743
168,34.0287828,-118.0236941
169,34.0610653,-117.7866502
170,34.0287828,-118.0236941
171,34.0287828,-118.0236941
172,34.0287828,-118.0236941
173,34.0287828,-118.0236941
174,34.2810285,-118.4204886
175,34.2810285,-118.4204886
176,34.0624693,-118.0093155
177,34.0624693,-118.0093155
178,34.0835243,-117.9585354
179,36.778261,-119.4179324
180,34.157463,-118.1418485
181,34.0610653,-117.7866502
182,34.0610653,-117.7866502
183,34.0610653,-117.7866502
184,34.0610653,-117.7866502
185,34.1054146,-117.7513237
186,34.0796167,-118.2585096
187,34.14,-117.98
188,34.14,-117.98
189,34.14,-117.98
190,34.0151394,-118.1556856
191,34.0151394,-118.1556856
192,34.0112629,-117.980451
193,34.0112629,-117.980451
194,34.0112629,-117.980451
195,34.0112629,-117.980451
196,unknown,unknown
197,34.0767862,-117.9370776
198,34.0767862,-117.9370776
199,34.0622324,-117.7864509
200,34.0622324,-117.7864509
201,34.0672949,-117.9249241
202,34.0672949,-117.9249241
203,34.1687151,-118.1413359
204,34.1687151,-118.1413359
205,34.1687151,-118.1413359
206,34.0224471,-118.2000277
207,34.0724426,-118.0365883
208,34.0595892,-118.0685425
209,34.1561783,-118.1528623
210,34.1561783,-118.1528623
211,34.1561783,-118.1528623
212,34.1561783,-118.1528623
213,34.1561783,-118.1528623
214,34.1687151,-118.1413359
215,34.0650802,-117.7473373
216,34.0525613,-118.2627151
217,34.0525613,-118.2627151
218,34.0602257,-117.7467984
219,34.0602257,-117.7467984
220,34.0800266,-117.8874827
221,34.0800266,-117.8874827
222,34.0800266,-117.8874827
223,34.0800266,-117.8874827
224,34.0800266,-117.8874827
225,34.04342159999999,-118.2573019
226,34.0622878,-117.7490971
227,34.05706139999999,-118.2745191
228,33.9990871,-117.8581143
229,34.0734564,-117.7522247
230,36.778261,-119.4179324
231,34.10371500000001,-118.0858356
232,34.10371500000001,-118.0858356
233,34.10371500000001,-118.0858356
234,34.0423227,-118.089039
235,34.0131448,-117.9145139
236,34.0131448,-117.9145139
237,34.0410214,-117.7581682
238,34.0410214,-117.7581682
239,34.0465897,-118.2089926
240,34.0465897,-118.2089926
241,34.1609763,-118.0739988
242,34.0702158,-118.0968943
243,33.9627706,-118.0395279
244,34.0888966,-117.8875962
